Rank,Name,week,DB,MAN %,FP/DB,ZONE %,FP/DB,1-HI/MOF C %,FP/DB,2-HI/MOF O %,FP/DB,COVER 0 %,COVER 1 %,COVER 2 %,COVER 2 MAN %,COVER 3 %,COVER 4 %,COVER 6 %,Season
21,BAL,3,34,0.529,0.93,0.441,0.25,0.794,0.39,0.206,1.98,0.088,0.441,0,0,0.353,0.059,0.029,2022
22,PIT,3,33,0.242,0.13,0.727,0.31,0.485,0.2,0.485,0.32,0,0.182,0.061,0.061,0.303,0.303,0.061,2022
23,SF,3,33,0.303,0.05,0.667,0.31,0.727,0.15,0.273,0.88,0,0.303,0,0,0.424,0.061,0.182,2022
24,HOU,3,33,0.455,0.23,0.424,0.42,0.667,0.29,0.303,0.64,0,0.455,0.121,0,0.212,0.091,0,2022
25,CLE,3,33,0.152,0.95,0.818,0.44,0.636,0.67,0.364,0.22,0,0.121,0.273,0.03,0.515,0,0.03,2022
26,DAL,3,31,0.323,0.18,0.581,0.37,0.71,0.31,0.29,0.63,0.032,0.258,0.032,0.032,0.452,0.032,0.065,2022
27,TEN,3,28,0.393,0.47,0.571,0.51,0.679,0.41,0.321,0.64,0.036,0.321,0.143,0.036,0.357,0.071,0,2022
28,CAR,3,28,0.5,0.56,0.5,0.21,0.821,0.45,0.179,0.1,0.036,0.464,0.071,0,0.357,0.036,0.036,2022
29,LA,3,27,0.222,0.41,0.741,0.4,0.667,0.42,0.333,0.31,0,0.222,0.037,0,0.444,0.111,0.148,2022
30,CHI,3,25,0.2,0.62,0.8,0.17,0.76,0.34,0.24,0,0,0.2,0.2,0,0.52,0,0.08,2022
31,ATL,3,25,0,0,1,0.52,0.76,0.56,0.24,0.4,0,0,0,0,0.72,0.04,0.24,2022
32,MIA,3,22,0.091,0,0.864,0.59,0.136,0.29,0.864,0.56,0,0.091,0.364,0,0.045,0.273,0.182,2022
1,PIT,5,56,0.214,0.16,0.768,0.26,0.268,0.26,0.732,0.22,0,0.107,0.446,0.107,0.161,0.107,0.054,2022
2,TB,5,52,0.423,0.22,0.481,0.31,0.635,0.29,0.346,0.43,0,0.404,0.192,0.019,0.231,0.038,0.019,2022
3,JAX,5,50,0.02,1.2,0.88,0.26,0.12,0.09,0.86,0.27,0,0.02,0.66,0,0.06,0.16,0,2022
4,LA,5,49,0.204,0.69,0.735,0.18,0.592,0.32,0.388,0.22,0,0.204,0.286,0,0.388,0.061,0,2022
5,KC,5,48,0.563,0.45,0.333,0.33,0.708,0.46,0.292,1.01,0.042,0.521,0.083,0,0.188,0.021,0.042,2022
6,IND,5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
7,CAR,5,48,0.229,0.24,0.771,0.2,0.646,0.19,0.354,0.24,0,0.229,0.188,0,0.417,0.167,0,2022
